Jurisdiction,statename,month,Year,m_name,Age,Sex,Suspected_drug_OD_n,Suspected_opioid_OD_n,Suspected_heroin_OD_n,Suspected_stimulant_OD_n,Total_ED
AZ,ARIZONA,11,2020,M112020,25-34,M,264,136,12,29,11809
CO,COLORADO,11,2020,M112020,25-34,M,143,72,10,5,8920
CT,CONNECTICUT,11,2020,M112020,25-34,M,164,85,22,.,6929
DC,DISTRICT OF COLUMBIA,11,2020,M112020,25-34,M,66,10,4,6,2166
DE,DELAWARE,11,2020,M112020,25-34,M,62,43,13,1,1957
FL,FLORIDA,11,2020,M112020,25-34,M,1219,505,186,195,43935
GA,GEORGIA,11,2020,M112020,25-34,M,221,71,33,13,19140
ID,IDAHO,11,2020,M112020,25-34,M,28,12,5,1,2401
IL,ILLINOIS,11,2020,M112020,25-34,M,387,199,113,20,23216
IN,INDIANA,11,2020,M112020,25-34,M,350,176,90,32,13033
KS,KANSAS,11,2020,M112020,25-34,M,67,20,3,7,4632
KY,KENTUCKY,11,2020,M112020,25-34,M,235,140,73,22,8756
LA,LOUISIANA,11,2020,M112020,25-34,M,224,91,46,9,11447
MA,MASSACHUSETTS,11,2020,M112020,25-34,M,344,189,51,14,13911
MD,MARYLAND,11,2020,M112020,25-34,M,268,142,38,7,10362
ME,MAINE,11,2020,M112020,25-34,M,50,34,11,2,2523
MI,MICHIGAN,11,2020,M112020,25-34,M,341,137,80,19,18916
MO,MISSOURI,11,2020,M112020,25-34,M,147,25,10,5,11299
MS,MISSISSIPPI,11,2020,M112020,25-34,M,66,14,3,4,5452
MT,MONTANA,11,2020,M112020,25-34,M,19,9,3,1,1607
NC,NORTH CAROLINA,11,2020,M112020,25-34,M,453,210,70,16,22151
NH,NEW HAMPSHIRE,11,2020,M112020,25-34,M,40,16,4,.,3242
NJ,NEW JERSEY,11,2020,M112020,25-34,M,261,74,32,1,16330
NM,NEW MEXICO,11,2020,M112020,25-34,M,77,31,6,3,5796
NV,NEVADA,11,2020,M112020,25-34,M,95,39,17,14,6673
NY,NEW YORK,11,2020,M112020,25-34,M,716,212,84,19,38857
OH,OHIO,11,2020,M112020,25-34,M,614,235,83,16,27441
OR,OREGON,11,2020,M112020,25-34,M,111,42,12,3,7001
PA,PENNSYLVANIA,11,2020,M112020,25-34,M,456,154,60,13,23394
RI,RHODE ISLAND,11,2020,M112020,25-34,M,46,24,1,7,2354
SC,SOUTH CAROLINA,11,2020,M112020,25-34,M,134,70,21,5,7219
SD,SOUTH DAKOTA,11,2020,M112020,25-34,M,4,.,.,.,1114
TN,TENNESSEE,11,2020,M112020,25-34,M,376,200,64,24,13466
UT,UTAH,11,2020,M112020,25-34,M,80,33,18,9,4133
VA,VIRGINIA,11,2020,M112020,25-34,M,226,75,34,5,15076
VT,VERMONT,11,2020,M112020,25-34,M,15,8,3,2,848
WA,WASHINGTON,11,2020,M112020,25-34,M,220,120,33,23,12982
WI,WISCONSIN,11,2020,M112020,25-34,M,163,61,33,4,10871
WV,WEST VIRGINIA,11,2020,M112020,25-34,M,85,38,20,2,4570
AK,ALASKA,12,2020,M122020,25-34,M,16,8,3,.,1427
AL,ALABAMA,12,2020,M122020,25-34,M,177,71,40,14,10243
AR,ARKANSAS,12,2020,M122020,25-34,M,37,11,2,1,3738
AZ,ARIZONA,12,2020,M122020,25-34,M,243,143,14,31,12132
CO,COLORADO,12,2020,M122020,25-34,M,142,51,15,6,8519
CT,CONNECTICUT,12,2020,M122020,25-34,M,165,86,32,6,6572
DC,DISTRICT OF COLUMBIA,12,2020,M122020,25-34,M,49,11,1,2,1975
DE,DELAWARE,12,2020,M122020,25-34,M,66,44,14,3,1898
FL,FLORIDA,12,2020,M122020,25-34,M,1253,517,185,202,44978
GA,GEORGIA,12,2020,M122020,25-34,M,258,69,32,12,20057
ID,IDAHO,12,2020,M122020,25-34,M,38,13,10,6,2369
IL,ILLINOIS,12,2020,M122020,25-34,M,372,185,113,11,21323
IN,INDIANA,12,2020,M122020,25-34,M,387,159,80,39,12592
KS,KANSAS,12,2020,M122020,25-34,M,97,33,10,10,4387
KY,KENTUCKY,12,2020,M122020,25-34,M,261,144,70,18,8089
LA,LOUISIANA,12,2020,M122020,25-34,M,209,94,46,6,11489
MA,MASSACHUSETTS,12,2020,M122020,25-34,M,335,189,41,12,13614
MD,MARYLAND,12,2020,M122020,25-34,M,297,148,42,8,9943
ME,MAINE,12,2020,M122020,25-34,M,27,14,5,1,2253
MI,MICHIGAN,12,2020,M122020,25-34,M,298,126,55,14,17299
MO,MISSOURI,12,2020,M122020,25-34,M,173,30,2,4,11184
MS,MISSISSIPPI,12,2020,M122020,25-34,M,67,17,8,2,5405
MT,MONTANA,12,2020,M122020,25-34,M,29,7,5,5,1679
NC,NORTH CAROLINA,12,2020,M122020,25-34,M,436,199,72,20,21526
NH,NEW HAMPSHIRE,12,2020,M122020,25-34,M,37,17,8,1,3364
NJ,NEW JERSEY,12,2020,M122020,25-34,M,241,84,34,4,15457
NM,NEW MEXICO,12,2020,M122020,25-34,M,62,27,9,4,4855
NV,NEVADA,12,2020,M122020,25-34,M,87,39,17,16,6709
NY,NEW YORK,12,2020,M122020,25-34,M,668,193,72,22,39723
OH,OHIO,12,2020,M122020,25-34,M,575,226,69,16,25893
OR,OREGON,12,2020,M122020,25-34,M,116,46,18,3,7017
PA,PENNSYLVANIA,12,2020,M122020,25-34,M,450,157,75,11,21118
RI,RHODE ISLAND,12,2020,M122020,25-34,M,62,25,.,1,2113
SC,SOUTH CAROLINA,12,2020,M122020,25-34,M,152,70,21,8,7499
SD,SOUTH DAKOTA,12,2020,M122020,25-34,M,5,1,1,.,1191
TN,TENNESSEE,12,2020,M122020,25-34,M,351,183,82,8,14466
UT,UTAH,12,2020,M122020,25-34,M,96,37,14,10,4421
VA,VIRGINIA,12,2020,M122020,25-34,M,249,107,52,5,15046
VT,VERMONT,12,2020,M122020,25-34,M,15,8,3,1,991
WA,WASHINGTON,12,2020,M122020,25-34,M,251,145,48,17,12812
WI,WISCONSIN,12,2020,M122020,25-34,M,137,50,22,2,10011
WV,WEST VIRGINIA,12,2020,M122020,25-34,M,95,47,26,8,4383
AK,ALASKA,1,2021,M12021,25-34,M,28,12,4,2,1522
AL,ALABAMA,1,2021,M12021,25-34,M,185,79,37,16,10270
AR,ARKANSAS,1,2021,M12021,25-34,M,47,10,4,3,3595
AZ,ARIZONA,1,2021,M12021,25-34,M,259,142,12,22,12347
CO,COLORADO,1,2021,M12021,25-34,M,139,70,13,7,9087
CT,CONNECTICUT,1,2021,M12021,25-34,M,169,90,31,3,6577
DC,DISTRICT OF COLUMBIA,1,2021,M12021,25-34,M,63,3,1,7,2214
DE,DELAWARE,1,2021,M12021,25-34,M,62,33,13,4,1959
FL,FLORIDA,1,2021,M12021,25-34,M,1310,515,178,229,47702
GA,GEORGIA,1,2021,M12021,25-34,M,203,57,17,8,20110
ID,IDAHO,1,2021,M12021,25-34,M,38,13,6,4,2493
IL,ILLINOIS,1,2021,M12021,25-34,M,386,186,94,15,21542
IN,INDIANA,1,2021,M12021,25-34,M,415,172,90,51,12719
KS,KANSAS,1,2021,M12021,25-34,M,66,18,5,3,4548
KY,KENTUCKY,1,2021,M12021,25-34,M,266,156,80,22,8584
LA,LOUISIANA,1,2021,M12021,25-34,M,199,95,50,5,11540
MA,MASSACHUSETTS,1,2021,M12021,25-34,M,386,232,47,17,13703
MD,MARYLAND,1,2021,M12021,25-34,M,280,138,38,14,9966
ME,MAINE,1,2021,M12021,25-34,M,38,21,5,2,2334
MI,MICHIGAN,1,2021,M12021,25-34,M,316,127,62,15,18043
MO,MISSOURI,1,2021,M12021,25-34,M,149,24,6,6,11073
MS,MISSISSIPPI,1,2021,M12021,25-34,M,45,11,5,3,4983
MT,MONTANA,1,2021,M12021,25-34,M,24,5,1,3,1667
NC,NORTH CAROLINA,1,2021,M12021,25-34,M,438,226,72,22,21646
NH,NEW HAMPSHIRE,1,2021,M12021,25-34,M,36,25,12,.,3319
NJ,NEW JERSEY,1,2021,M12021,25-34,M,295,88,28,6,15465
NM,NEW MEXICO,1,2021,M12021,25-34,M,58,22,3,2,5083
NV,NEVADA,1,2021,M12021,25-34,M,101,44,16,9,6634
NY,NEW YORK,1,2021,M12021,25-34,M,683,198,76,20,40721
OR,OREGON,1,2021,M12021,25-34,M,116,41,16,9,7226
PA,PENNSYLVANIA,1,2021,M12021,25-34,M,463,157,65,7,21144
RI,RHODE ISLAND,1,2021,M12021,25-34,M,52,26,3,2,2228
SC,SOUTH CAROLINA,1,2021,M12021,25-34,M,136,72,29,8,7627
SD,SOUTH DAKOTA,1,2021,M12021,25-34,M,17,.,.,3,1298
TN,TENNESSEE,1,2021,M12021,25-34,M,459,256,105,27,14567
UT,UTAH,1,2021,M12021,25-34,M,92,54,21,5,4398
VA,VIRGINIA,1,2021,M12021,25-34,M,205,79,24,6,15192
VT,VERMONT,1,2021,M12021,25-34,M,16,9,2,2,1029
WA,WASHINGTON,1,2021,M12021,25-34,M,232,121,37,15,12958
WI,WISCONSIN,1,2021,M12021,25-34,M,170,65,31,3,10118
WV,WEST VIRGINIA,1,2021,M12021,25-34,M,117,65,30,11,4700
AK,ALASKA,2,2021,M22021,25-34,M,16,10,5,1,1477
AL,ALABAMA,2,2021,M22021,25-34,M,167,68,43,15,8791
AR,ARKANSAS,2,2021,M22021,25-34,M,42,11,2,3,3007
AZ,ARIZONA,2,2021,M22021,25-34,M,246,139,10,23,11056
CO,COLORADO,2,2021,M22021,25-34,M,155,72,11,8,8203
CT,CONNECTICUT,2,2021,M22021,25-34,M,152,83,27,2,5775
DC,DISTRICT OF COLUMBIA,2,2021,M22021,25-34,M,50,4,1,11,1865
DE,DELAWARE,2,2021,M22021,25-34,M,44,27,8,.,1634
FL,FLORIDA,2,2021,M22021,25-34,M,1278,474,163,226,42915
GA,GEORGIA,2,2021,M22021,25-34,M,182,63,32,13,17084
ID,IDAHO,2,2021,M22021,25-34,M,34,14,4,7,2169
IL,ILLINOIS,2,2021,M22021,25-34,M,318,150,86,10,18977
IN,INDIANA,2,2021,M22021,25-34,M,349,145,70,39,11178
KS,KANSAS,2,2021,M22021,25-34,M,69,22,4,9,3747
KY,KENTUCKY,2,2021,M22021,25-34,M,213,119,60,19,7444
LA,LOUISIANA,2,2021,M22021,25-34,M,177,77,34,4,9656
MA,MASSACHUSETTS,2,2021,M22021,25-34,M,364,205,38,9,12252
MD,MARYLAND,2,2021,M22021,25-34,M,240,127,43,15,8833
ME,MAINE,2,2021,M22021,25-34,M,31,14,.,.,2086
MI,MICHIGAN,2,2021,M22021,25-34,M,275,97,47,24,16431
MO,MISSOURI,2,2021,M22021,25-34,M,152,20,5,12,9409
MS,MISSISSIPPI,2,2021,M22021,25-34,M,42,12,4,2,4509
MT,MONTANA,2,2021,M22021,25-34,M,20,5,1,1,1419
NC,NORTH CAROLINA,2,2021,M22021,25-34,M,393,178,70,15,18563
NH,NEW HAMPSHIRE,2,2021,M22021,25-34,M,37,13,3,2,2860
NJ,NEW JERSEY,2,2021,M22021,25-34,M,226,65,21,3,13141
NM,NEW MEXICO,2,2021,M22021,25-34,M,73,29,6,7,4519
NV,NEVADA,2,2021,M22021,25-34,M,88,40,22,13,5967
NY,NEW YORK,2,2021,M22021,25-34,M,580,176,81,15,36208
OR,OREGON,2,2021,M22021,25-34,M,88,40,10,1,6603
PA,PENNSYLVANIA,2,2021,M22021,25-34,M,451,155,66,7,18743
RI,RHODE ISLAND,2,2021,M22021,25-34,M,28,13,1,.,1942
SC,SOUTH CAROLINA,2,2021,M22021,25-34,M,149,81,37,6,6953
SD,SOUTH DAKOTA,2,2021,M22021,25-34,M,18,.,.,1,1293
TN,TENNESSEE,2,2021,M22021,25-34,M,387,194,67,7,12480
UT,UTAH,2,2021,M22021,25-34,M,82,37,12,6,4069
VA,VIRGINIA,2,2021,M22021,25-34,M,220,82,32,4,13263
VT,VERMONT,2,2021,M22021,25-34,M,16,9,3,2,959
WA,WASHINGTON,2,2021,M22021,25-34,M,214,116,38,21,11422
WI,WISCONSIN,2,2021,M22021,25-34,M,157,66,32,7,9172
WV,WEST VIRGINIA,2,2021,M22021,25-34,M,67,39,25,4,4066
AK,ALASKA,3,2021,M32021,25-34,M,26,14,7,3,1623
AL,ALABAMA,3,2021,M32021,25-34,M,245,99,40,27,10410
AR,ARKANSAS,3,2021,M32021,25-34,M,32,6,.,3,3207
AZ,ARIZONA,3,2021,M32021,25-34,M,313,174,19,30,12546
CO,COLORADO,3,2021,M32021,25-34,M,186,101,17,6,9633
CT,CONNECTICUT,3,2021,M32021,25-34,M,214,96,38,11,7293
DC,DISTRICT OF COLUMBIA,3,2021,M32021,25-34,M,59,10,3,3,2166
DE,DELAWARE,3,2021,M32021,25-34,M,69,35,15,3,2069
FL,FLORIDA,3,2021,M32021,25-34,M,1596,635,183,318,49572
GA,GEORGIA,3,2021,M32021,25-34,M,256,88,38,8,19751
ID,IDAHO,3,2021,M32021,25-34,M,41,18,5,5,2503
IL,ILLINOIS,3,2021,M32021,25-34,M,477,240,133,25,23166
IN,INDIANA,3,2021,M32021,25-34,M,449,188,94,65,13366
KS,KANSAS,3,2021,M32021,25-34,M,80,32,4,8,4605
LA,LOUISIANA,3,2021,M32021,25-34,M,269,118,56,11,11371
MA,MASSACHUSETTS,3,2021,M32021,25-34,M,412,231,53,19,13986
MD,MARYLAND,3,2021,M32021,25-34,M,275,114,31,10,10371
ME,MAINE,3,2021,M32021,25-34,M,43,27,11,1,2393
MI,MICHIGAN,3,2021,M32021,25-34,M,378,156,81,18,20414
MO,MISSOURI,3,2021,M32021,25-34,M,184,28,12,5,11342
MS,MISSISSIPPI,3,2021,M32021,25-34,M,49,15,4,4,5372
MT,MONTANA,3,2021,M32021,25-34,M,31,12,5,5,1773
NC,NORTH CAROLINA,3,2021,M32021,25-34,M,511,253,78,19,22346
NH,NEW HAMPSHIRE,3,2021,M32021,25-34,M,54,22,9,2,3064
NJ,NEW JERSEY,3,2021,M32021,25-34,M,317,101,26,7,15906
